short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot
Rúben Dias,Rúben dos Santos Gato Alves Dias,87,24,1997-05-14,187,82,RCB,Defender,Manchester City,English Premier League,Portugal,3,Right
J. Sancho,Jadon Sancho,87,21,2000-03-25,180,76,LM,Midfield,Manchester United,English Premier League,England,25,Right
T. Alexander-Arnold,Trent Alexander-Arnold,87,22,1998-10-07,180,69,RB,Defender,Liverpool,English Premier League,England,66,Right
F. de Jong,Frenkie de Jong,87,24,1997-05-12,180,74,RCM,Midfield,FC Barcelona,Spain Primera Division,Netherlands,21,Right
A. Robertson,Andrew Robertson,87,27,1994-03-11,178,64,LB,Defender,Liverpool,English Premier League,Scotland,26,Left
L. Goretzka,Leon Christoph Goretzka,87,26,1995-02-06,189,82,LDM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,8,Right
Marquinhos,Marcos Aoás Corrêa,87,27,1994-05-14,183,75,RCB,Defender,Paris Saint-Germain,French Ligue 1,Brazil,5,Right
P. Dybala,Paulo Bruno Exequiel Dybala,87,27,1993-11-15,177,75,CAM,Midfield,Juventus,Italian Serie A,Argentina,10,Left
P. Pogba,Paul Pogba,87,28,1993-03-15,191,84,RDM,Midfield,Manchester United,English Premier League,France,6,Right
S. Agüero,Sergio Leonel Agüero del Castillo,87,33,1988-06-02,173,70,ST,Forward,FC Barcelona,Spain Primera Division,Argentina,19,Right
T. Müller,Thomas Müller,87,31,1989-09-13,185,76,CAM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,25,Right
W. Szczęsny,Wojciech Tomasz Szczęsny,87,31,1990-04-18,195,90,GK,GK,Juventus,Italian Serie A,Poland,1,Right
L. Modrić,Luka Modrić,87,35,1985-09-09,172,66,RCM,Midfield,Real Madrid CF,Spain Primera Division,Croatia,10,Right
H. Lloris,Hugo Lloris,87,34,1986-12-26,188,82,GK,GK,Tottenham Hotspur,English Premier League,France,1,Left
C. Immobile,Ciro Immobile,87,31,1990-02-20,185,85,ST,Forward,Lazio,Italian Serie A,Italy,17,Right
Fabinho,Fábio Henrique Tavares,86,27,1993-10-23,188,78,CDM,Midfield,Liverpool,English Premier League,Brazil,3,Right
João Cancelo,João Pedro Cavaco Cancelo,86,27,1994-05-27,182,74,LB,Defender,Manchester City,English Premier League,Portugal,27,Right
A. Laporte,Aymeric Laporte,86,27,1994-05-27,191,85,LCB,Defender,Manchester City,English Premier League,Spain,14,Left
Rodri,Rodrigo Hernández Cascante,86,25,1996-06-22,191,82,CDM,Midfield,Manchester City,English Premier League,Spain,16,Right
Marcos Llorente,Marcos Llorente Moreno,86,26,1995-01-30,184,74,RM,Midfield,Atlético de Madrid,Spain Primera Division,Spain,14,Right
R. Mahrez,Riyad Mahrez,86,30,1991-02-21,179,67,RW,Forward,Manchester City,English Premier League,Algeria,26,Left
M. Škriniar,Milan Škriniar,86,26,1995-02-11,188,80,RCB,Defender,Inter,Italian Serie A,Slovakia,37,Right
Gerard Moreno,Gerard Moreno Balagueró,86,29,1992-04-07,180,77,RS,Forward,Villarreal CF,Spain Primera Division,Spain,7,Left
J. Vardy,Jamie Vardy,86,34,1987-01-11,179,74,ST,Forward,Leicester City,English Premier League,England,9,Right
R. Varane,Raphaël Varane,86,28,1993-04-25,191,81,RCB,Defender,Manchester United,English Premier League,France,19,Right
Thiago,Thiago Alcântara do Nascimento,86,30,1991-04-11,174,70,LCM,Midfield,Liverpool,English Premier League,Spain,6,Right
K. Koulibaly,Kalidou Koulibaly,86,30,1991-06-20,187,89,LCB,Defender,Napoli,Italian Serie A,Senegal,26,Right
S. Handanovič,Samir Handanovič,86,36,1984-07-14,193,92,GK,GK,Inter,Italian Serie A,Slovenia,1,Right
Jordi Alba,Jordi Alba Ramos,86,32,1989-03-21,170,68,LB,Defender,FC Barcelona,Spain Primera Division,Spain,18,Left
M. Hummels,Mats Hummels,86,32,1988-12-16,191,96,LCB,Defender,Borussia Dortmund,German 1. Bundesliga,Germany,15,Right
Sergio Busquets,Sergio Busquets i Burgos,86,32,1988-07-16,189,76,CDM,Midfield,FC Barcelona,Spain Primera Division,Spain,5,Right
Parejo,Daniel Parejo Muñoz,86,32,1989-04-16,182,74,LCM,Midfield,Villarreal CF,Spain Primera Division,Spain,5,Right
K. Casteels,Koen Casteels,86,29,1992-06-25,197,86,GK,GK,VfL Wolfsburg,German 1. Bundesliga,Belgium,1,Left
L. Insigne,Lorenzo Insigne,86,30,1991-06-04,163,59,LW,Forward,Napoli,Italian Serie A,Italy,24,Right
W. Ndidi,Onyinye Wilfred Ndidi,85,24,1996-12-16,183,74,LDM,Midfield,Leicester City,English Premier League,Nigeria,25,Right
M. Depay,Memphis Depay,85,27,1994-02-13,176,78,LW,Forward,FC Barcelona,Spain Primera Division,Netherlands,9,Right
Carvajal,Daniel Carvajal Ramos,85,29,1992-01-11,173,73,RB,Defender,Real Madrid CF,Spain Primera Division,Spain,2,Right
Jorginho,Luiz Frello Filho Jorge,85,29,1991-12-20,180,68,LCM,Midfield,Chelsea,English Premier League,Italy,5,Right
S. Gnabry,Serge David Gnabry,85,25,1995-07-14,176,77,RM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,7,Right
S. Milinković-Savić,Sergej Milinković-Savić,85,26,1995-02-27,191,76,RCM,Midfield,Lazio,Italian Serie A,Serbia,21,Right
M. de Ligt,Matthijs de Ligt,85,21,1999-08-12,189,89,LCB,Defender,Juventus,Italian Serie A,Netherlands,4,Right
Oyarzabal,Mikel Oyarzabal Ugarte,85,24,1997-04-21,181,79,LW,Forward,Real Sociedad,Spain Primera Division,Spain,10,Left
L. Martínez,Lautaro Javier Martínez,85,23,1997-08-22,174,72,LS,Forward,Inter,Italian Serie A,Argentina,10,Right
A. Hakimi,Achraf Hakimi Mouh,85,22,1998-11-04,181,73,RB,Defender,Paris Saint-Germain,French Ligue 1,Morocco,2,Right
A. Griezmann,Antoine Griezmann,85,30,1991-03-21,176,73,LS,Forward,Atlético de Madrid,Spain Primera Division,France,17,Left
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,85,29,1991-10-02,181,76,CF,Forward,Liverpool,English Premier League,Brazil,9,Right
S. de Vrij,Stefan de Vrij,85,29,1992-02-05,189,78,CB,Defender,Inter,Italian Serie A,Netherlands,6,Right
Koke,Jorge Resurrección Merodio,85,29,1992-01-08,176,75,RCM,Midfield,Atlético de Madrid,Spain Primera Division,Spain,6,Right
E. Hazard,Eden Hazard,85,30,1991-01-07,175,74,LW,Forward,Real Madrid CF,Spain Primera Division,Belgium,7,Right
A. Gómez,Alejandro Darío Gómez,85,33,1988-02-15,167,68,LCM,Midfield,Sevilla FC,Spain Primera Division,Argentina,24,Right
K. Schmeichel,Kasper Peter Schmeichel,85,34,1986-11-05,189,89,GK,GK,Leicester City,English Premier League,Denmark,1,Right
David Silva,David Josué Jiménez Silva,85,35,1986-01-08,173,67,CAM,Midfield,Real Sociedad,Spain Primera Division,Spain,21,Left
Y. Sommer,Yann Sommer,85,32,1988-12-17,183,79,GK,GK,Borussia Mönchengladbach,German 1. Bundesliga,Switzerland,1,Right
L. Bonucci,Leonardo Bonucci,85,34,1987-05-01,190,85,RCB,Defender,Juventus,Italian Serie A,Italy,19,Right
P. Gulácsi,Péter Gulácsi,85,31,1990-05-06,191,86,GK,GK,RB Leipzig,German 1. Bundesliga,Hungary,1,Right
İ. Gündoğan,İlkay Gündoğan,85,30,1990-10-24,180,80,LCM,Midfield,Manchester City,English Premier League,Germany,8,Right
M. Reus,Marco Reus,85,32,1989-05-31,180,71,CAM,Midfield,Borussia Dortmund,German 1. Bundesliga,Germany,11,Right
K. Walker,Kyle Walker,85,31,1990-05-28,183,83,RB,Defender,Manchester City,English Premier League,England,2,Right
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,85,32,1989-06-18,187,80,ST,Forward,Arsenal,English Premier League,Gabon,14,Right
J. Giménez,José María Giménez de Vargas,84,26,1995-01-20,185,79,CB,Defender,Atlético de Madrid,Spain Primera Division,Uruguay,2,Right
Y. Carrasco,Yannick Ferreira Carrasco,84,27,1993-09-04,185,73,LM,Midfield,Atlético de Madrid,Spain Primera Division,Belgium,21,Right
F. Kostić,Filip Kostić,84,28,1992-11-01,184,82,LM,Midfield,Eintracht Frankfurt,German 1. Bundesliga,Serbia,10,Left
R. Guerreiro,Raphaël Adelino José Guerreiro,84,27,1993-12-22,170,71,LB,Defender,Borussia Dortmund,German 1. Bundesliga,Portugal,13,Left
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,84,27,1993-10-06,175,70,RB,Defender,Leicester City,English Premier League,Portugal,21,Right
M. Maignan,Mike Maignan,84,25,1995-07-03,191,89,GK,GK,AC Milan,Italian Serie A,France,16,Right
M. Brozović,Marcelo Brozović,84,28,1992-11-16,181,68,CDM,Midfield,Inter,Italian Serie A,Croatia,77,Right
Y. Tielemans,Youri Tielemans,84,24,1997-05-07,176,72,RDM,Midfield,Leicester City,English Premier League,Belgium,8,Right
T. Hernández,Theo Bernard François Hernández,84,23,1997-10-06,184,81,LB,Defender,AC Milan,Italian Serie A,France,19,Left
N. Fekir,Nabil Fekir,84,27,1993-07-18,173,75,CAM,Midfield,Real Betis Balompié,Spain Primera Division,France,8,Left
L. Sané,Leroy Aziz Sané,84,25,1996-01-11,183,80,LM,Midfield,FC Bayern München,German 1. Bundesliga,Germany,10,Left
N. Barella,Nicolò Barella,84,24,1997-02-07,172,68,RCM,Midfield,Inter,Italian Serie A,Italy,23,Right
M. Acuña,Marcos Javier Acuña,84,29,1991-10-28,172,69,LB,Defender,Sevilla FC,Spain Primera Division,Argentina,19,Left
André Silva,André Miguel Valente da Silva,84,25,1995-11-06,185,84,ST,Forward,RB Leipzig,German 1. Bundesliga,Portugal,33,Right
F. Kessié,Franck Yannick Kessié,84,24,1996-12-19,183,88,LDM,Midfield,AC Milan,Italian Serie A,Côte d'Ivoire,79,Right
J. Grealish,Jack Grealish,84,25,1995-09-10,180,81,LW,Forward,Manchester City,English Premier League,England,10,Right
M. Ginter,Matthias Ginter,84,27,1994-01-19,191,86,RCB,Defender,Borussia Mönchengladbach,German 1. Bundesliga,Germany,28,Right
L. Shaw,Luke Shaw,84,25,1995-07-12,181,75,LB,Defender,Manchester United,English Premier League,England,23,Left
De Gea,David De Gea Quintana,84,30,1990-11-07,192,82,GK,GK,Manchester United,English Premier League,Spain,1,Right
Jesús Navas,Jesús Navas González,84,35,1985-11-21,172,60,RB,Defender,Sevilla FC,Spain Primera Division,Spain,16,Right
Piqué,Gerard Piqué Bernabéu,84,34,1987-02-02,194,85,LCB,Defender,FC Barcelona,Spain Primera Division,Spain,3,Right
J. Henderson,Jordan Henderson,84,31,1990-06-17,182,80,RCM,Midfield,Liverpool,English Premier League,England,14,Right
Fernando,Fernando Francisco Reges,84,33,1987-07-25,183,76,CDM,Midfield,Sevilla FC,Spain Primera Division,Brazil,25,Right
Iago Aspas,Iago Aspas Juncal,84,33,1987-08-01,176,67,RS,Forward,RC Celta de Vigo,Spain Primera Division,Spain,10,Left
G. Wijnaldum,Georginio Wijnaldum,84,30,1990-11-11,175,74,RCM,Midfield,Paris Saint-Germain,French Ligue 1,Netherlands,18,Right
D. Alaba,David Olatukunbo Alaba,84,29,1992-06-24,180,78,LB,Defender,Real Madrid CF,Spain Primera Division,Austria,4,Left
D. Tadić,Dušan Tadić,84,32,1988-11-20,181,76,LW,Forward,Ajax,Holland Eredivisie,Serbia,10,Left
W. Ben Yedder,Wissam Ben Yedder,84,30,1990-08-12,170,68,ST,Forward,AS Monaco,French Ligue 1,France,10,Right
L. Digne,Lucas Digne,84,27,1993-07-20,178,74,LB,Defender,Everton,English Premier League,France,12,Left
E. Martínez,Damián Emiliano Martínez,84,28,1992-09-02,195,88,GK,GK,Aston Villa,English Premier League,Argentina,1,Right
H. Maguire,Harry Maguire,84,28,1993-03-05,194,100,LCB,Defender,Manchester United,English Premier League,England,5,Right
Luis Alberto,Luis Alberto Romero Alconchel,84,28,1992-09-28,183,74,LCM,Midfield,Lazio,Italian Serie A,Spain,10,Right
S. Savić,Stefan Savić,84,30,1991-01-08,187,80,RCB,Defender,Atlético de Madrid,Spain Primera Division,Montenegro,15,Right
D. Zapata,Duván Esteban Zapata Banguera,83,30,1991-04-01,189,88,ST,Forward,Atalanta,Italian Serie A,Colombia,91,Right
W. Weghorst,Wout Weghorst,83,28,1992-08-07,197,84,ST,Forward,VfL Wolfsburg,German 1. Bundesliga,Netherlands,9,Right
Angeliño,José Ángel Esmoris Tasende,83,24,1997-01-04,175,69,LB,Defender,RB Leipzig,German 1. Bundesliga,Spain,3,Left
A. Kramarić,Andrej Kramarić,83,30,1991-06-19,177,73,CAM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Croatia,27,Right
Gayà,José Luís Gayà Peña,83,26,1995-05-25,172,66,LB,Defender,Valencia CF,Spain Primera Division,Spain,14,Left
P. Højbjerg,Pierre-Emile Kordt Højbjerg,83,25,1995-08-05,185,84,RCM,Midfield,Tottenham Hotspur,English Premier League,Denmark,5,Right
T. Lemar,Thomas Lemar,83,25,1995-11-12,171,66,LCM,Midfield,Atlético de Madrid,Spain Primera Division,France,11,Left
T. Partey,Thomas Partey,83,28,1993-06-13,185,77,RDM,Midfield,Arsenal,English Premier League,Ghana,5,Right
Merino,Mikel Merino Zazón,83,25,1996-06-22,189,83,RCM,Midfield,Real Sociedad,Spain Primera Division,Spain,8,Left
R. Gosens,Robin Everardus Gosens,83,26,1994-07-05,183,76,LM,Midfield,Atalanta,Italian Serie A,Germany,8,Left
F. Chiesa,Federico Chiesa,83,23,1997-10-25,175,70,LM,Midfield,Juventus,Italian Serie A,Italy,22,Right
A. Wan-Bissaka,Aaron Wan-Bissaka,83,23,1997-11-26,183,72,RB,Defender,Manchester United,English Premier League,England,29,Right
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,29,1992-02-29,177,75,CAM,Midfield,Grêmio,Campeonato Brasileiro Série A,Brazil,7,Right
O. Dembélé,Ousmane Dembélé,83,24,1997-05-15,178,67,RW,Forward,FC Barcelona,Spain Primera Division,France,7,Left
M. Mount,Mason Mount,83,22,1999-01-10,178,70,RW,Forward,Chelsea,English Premier League,England,19,Right
É. Mendy,Édouard Mendy,83,29,1992-03-01,197,86,GK,GK,Chelsea,English Premier League,Senegal,16,Right
A. Rüdiger,Antonio Rüdiger,83,28,1993-03-03,190,85,LCB,Defender,Chelsea,English Premier League,Germany,2,Right
L. Ocampos,Lucas Ariel Ocampos,83,26,1994-07-11,188,84,LW,Forward,Sevilla FC,Spain Primera Division,Argentina,5,Right
R. Jiménez,Raúl Alonso Jiménez Rodríguez,83,30,1991-05-05,188,81,ST,Forward,Wolverhampton Wanderers,English Premier League,Mexico,9,Right
J. Pickford,Jordan Pickford,83,27,1994-03-07,185,77,GK,GK,Everton,English Premier League,England,1,Left
B. Leno,Bernd Leno,83,29,1992-03-04,190,83,GK,GK,Arsenal,English Premier League,Germany,1,Right
C. Vela,Carlos Alberto Vela Garrido,83,32,1989-03-01,177,77,RW,Forward,Los Angeles FC,USA Major League Soccer,Mexico,10,Left
S. Kjær,Simon Thorup Kjær,83,32,1989-03-26,190,86,RCB,Defender,AC Milan,Italian Serie A,Denmark,24,Right
Azpilicueta,César Azpilicueta Tanco,83,31,1989-08-28,178,77,RWB,Defender,Chelsea,English Premier League,Spain,28,Right
Paulinho,José Paulo Bezzera Maciel Júnior,83,32,1988-07-25,183,80,LCM,Midfield,Al Ahli,Saudi Abdul L. Jameel League,Brazil,15,Right
Muniain,Iker Muniain Goñi,83,28,1992-12-19,170,66,LM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,10,Right
Canales,Sergio Canales Madrazo,83,30,1991-02-16,176,65,LM,Midfield,Real Betis Balompié,Spain Primera Division,Spain,10,Left
L. Hrádecký,Lukáš Hrádecký,83,31,1989-11-24,192,83,GK,GK,Bayer 04 Leverkusen,German 1. Bundesliga,Finland,1,Right
Alex Sandro,Alex Sandro Lobo Silva,83,30,1991-01-26,180,80,LB,Defender,Juventus,Italian Serie A,Brazil,12,Left
E. Džeko,Edin Džeko,83,35,1986-03-17,193,80,RS,Forward,Inter,Italian Serie A,Bosnia and Herzegovina,9,Right
K. Manolas,Konstantinos Manolas,83,30,1991-06-14,189,83,RCB,Defender,Napoli,Italian Serie A,Greece,44,Right
K. Volland,Kevin Volland,83,28,1992-07-30,179,85,RF,Forward,AS Monaco,French Ligue 1,Germany,31,Left
H. Mkhitaryan,Henrikh Mkhitaryan,83,32,1989-01-21,177,75,LM,Midfield,Roma,Italian Serie A,Armenia,77,Right
N. Pope,Nick Pope,83,29,1992-04-19,199,76,GK,GK,Burnley,English Premier League,England,1,Right
Morata,Álvaro Borja Morata Martín,83,28,1992-10-23,190,84,ST,Forward,Juventus,Italian Serie A,Spain,9,Right
Allan,Allan Marques Loureiro,83,30,1991-01-08,175,74,LDM,Midfield,Everton,English Premier League,Brazil,6,Right
F. Acerbi,Francesco Acerbi,83,33,1988-02-10,192,88,LCB,Defender,Lazio,Italian Serie A,Italy,33,Left
S. Coates,Sebastián Coates Nión,83,30,1990-10-07,196,92,CB,Defender,Sporting CP,Portuguese Liga ZON SAGRES,Uruguay,4,Right
J. Matip,Joël Andre Job Matip,83,29,1991-08-08,194,90,RCB,Defender,Liverpool,English Premier League,Cameroon,32,Right
J. Cuadrado,Juan Guillermo Cuadrado Bello,83,33,1988-05-26,179,72,RM,Midfield,Juventus,Italian Serie A,Colombia,11,Right
J. Maddison,James Maddison,82,24,1996-11-23,175,73,CAM,Midfield,Leicester City,English Premier League,England,10,Right
Palhinha,João Maria Lobo Alves Palhinha Gonçalves,82,25,1995-07-09,190,82,LCM,Midfield,Sporting CP,Portuguese Liga ZON SAGRES,Portugal,6,Right
C. Pulisic,Christian Mate Pulisic,82,22,1998-09-18,177,69,LW,Forward,Chelsea,English Premier League,United States,10,Right
Fabián,Fabián Ruiz Peña,82,25,1996-04-03,189,70,RCM,Midfield,Napoli,Italian Serie A,Spain,8,Left
Rúben Neves,Rúben Diogo da Silva Neves,82,24,1997-03-13,180,80,RCM,Midfield,Wolverhampton Wanderers,English Premier League,Portugal,8,Right
M. Ødegaard,Martin Ødegaard,82,22,1998-12-17,178,68,CAM,Midfield,Arsenal,English Premier League,Norway,8,Left
A. Rebić,Ante Rebić,82,27,1993-09-21,185,78,LM,Midfield,AC Milan,Italian Serie A,Croatia,12,Right
Diego Carlos,Diego Carlos Santos Silva,82,28,1993-03-15,185,86,LCB,Defender,Sevilla FC,Spain Primera Division,Brazil,20,Right
Rafa,Rafael Alexandre Fernandes Ferreira da Silva,82,28,1993-05-17,170,63,RM,Midfield,SL Benfica,Portuguese Liga ZON SAGRES,Portugal,27,Right
Anderson Talisca,Anderson Souza Conceição,82,27,1994-02-01,190,80,CAM,Midfield,Al Nassr,Saudi Abdul L. Jameel League,Brazil,94,Left
N. Süle,Niklas Süle,82,25,1995-09-03,195,99,LCB,Defender,FC Bayern München,German 1. Bundesliga,Germany,4,Right
Mario Hermoso,Mario Hermoso Canseco,82,26,1995-06-18,185,76,LCB,Defender,Atlético de Madrid,Spain Primera Division,Spain,22,Left
T. Souček,Tomáš Souček,82,26,1995-02-27,192,86,RDM,Midfield,West Ham United,English Premier League,Czech Republic,28,Right
F. Neuhaus,Florian Christian Neuhaus,82,24,1997-03-16,185,74,LDM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,32,Right
D. Livaković,Dominik Livaković,82,26,1995-01-09,187,79,GK,GK,Dinamo Zagreb,Croatian Prva HNL,Croatia,40,Right
Ferran Torres,Ferran Torres García,82,21,2000-02-29,184,77,ST,Forward,Manchester City,English Premier League,Spain,21,Right
D. Berardi,Domenico Berardi,82,26,1994-08-01,183,72,RM,Midfield,U.S. Sassuolo Calcio,Italian Serie A,Italy,25,Left
Y. En-Nesyri,Youssef En-Nesyri,82,24,1997-06-01,188,78,ST,Forward,Sevilla FC,Spain Primera Division,Morocco,15,Left
A. Davies,Alphonso Boyle Davies,82,20,2000-11-02,183,75,LB,Defender,FC Bayern München,German 1. Bundesliga,Canada,19,Left
Raphaelinho Anjos,Raphael William Anjos Rochedo,82,33,1988-02-29,190,85,GK,GK,RB Bragantino,Campeonato Brasileiro Série A,Brazil,1,Right
D. Rice,Declan Rice,82,22,1999-01-14,185,80,LDM,Midfield,West Ham United,English Premier League,England,41,Right
A. Isak,Alexander Isak,82,21,1999-09-21,192,77,ST,Forward,Real Sociedad,Spain Primera Division,Sweden,19,Right
Raphinha,Raphael Dias Belloli,82,24,1996-12-14,176,68,RM,Midfield,Leeds United,English Premier League,Brazil,10,Left
Richarlison,Richarlison de Andrade,82,24,1997-05-10,181,71,LM,Midfield,Everton,English Premier League,Brazil,7,Right
Unai Simón,Unai Simón Mendibil,82,24,1997-06-11,190,89,GK,GK,Athletic Club de Bilbao,Spain Primera Division,Spain,1,Right
M. Locatelli,Manuel Locatelli,82,23,1998-01-08,185,75,RDM,Midfield,Juventus,Italian Serie A,Italy,27,Right
I. Gueye,Idrissa Gana Gueye,82,31,1989-09-26,174,66,CM,Midfield,Paris Saint-Germain,French Ligue 1,Senegal,27,Right
M. Götze,Mario Götze,82,29,1992-06-03,177,71,CAM,Midfield,PSV,Holland Eredivisie,Germany,27,Right
D. Blind,Daley Blind,82,31,1990-03-09,180,72,LB,Defender,Ajax,Holland Eredivisie,Netherlands,17,Left
K. Trapp,Kevin Trapp,82,30,1990-07-08,189,88,GK,GK,Eintracht Frankfurt,German 1. Bundesliga,Germany,1,Right
Oscar,Oscar dos Santos Emboaba Júnior,82,29,1991-09-09,179,70,CAM,Midfield,Shanghai Port FC,Chinese Super League,Brazil,8,Right
L. Stindl,Lars Edi Stindl,82,32,1988-08-26,181,80,CAM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,13,Right
M. Pjanić,Miralem Pjanić,82,31,1990-04-02,178,72,RCM,Midfield,Beşiktaş JK,Turkish Süper Lig,Bosnia and Herzegovina,15,Right
É. Banega,Éver Maximiliano David Banega,82,33,1988-06-29,174,75,CAM,Midfield,Al Shabab,Saudi Abdul L. Jameel League,Argentina,10,Right
Rui Patrício,Rui Pedro dos Santos Patrício,82,33,1988-02-15,190,84,GK,GK,Roma,Italian Serie A,Portugal,1,Left
G. Bale,Gareth Frank Bale,82,31,1989-07-16,185,82,RW,Forward,Real Madrid CF,Spain Primera Division,Wales,18,Left
S. Sirigu,Salvatore Sirigu,82,34,1987-01-12,192,85,GK,GK,Genoa,Italian Serie A,Italy,57,Right
Ł. Fabiański,Łukasz Fabiański,82,36,1985-04-18,190,83,GK,GK,West Ham United,English Premier League,Poland,1,Right
Raúl Albiol,Raúl Albiol Tortajada,82,35,1985-09-04,190,82,RCB,Defender,Villarreal CF,Spain Primera Division,Spain,3,Right
Pepe,Kléper Laveran de Lima Ferreira,82,38,1983-02-26,188,80,LCB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Portugal,3,Right
Grimaldo,Alejandro Grimaldo García,82,25,1995-09-20,171,69,LWB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Spain,3,Left
Mário Fernandes,Mário Figueira Fernandes,82,30,1990-09-19,187,80,RB,Defender,PFC CSKA Moscow,Russian Premier League,Russia,2,Right
Suso,Jesús Joaquín Fernández Sáez de la Torre,82,27,1993-11-19,176,70,RW,Forward,Sevilla FC,Spain Primera Division,Spain,7,Left
Y. Bounou,Yassine Bounou,82,30,1991-04-05,192,78,GK,GK,Sevilla FC,Spain Primera Division,Morocco,13,Left
